ability,item,moves
QuarkDrive,ChoiceSpecs,HydroPump FreezeDry IceBeam FlipTurn 
QuarkDrive,Leftovers,Earthquake RapidSpin VoltSwitch StealthRock 
Drizzle,DampRock,Hurricane Surf Uturn Roost 
QuarkDrive,ChoiceSpecs,FreezeDry HydroPump IceBeam FlipTurn 
Prankster,LightClay,Reflect LightScreen PartingShot SpiritBreak 
QuarkDrive,Leftovers,Earthquake HeavySlam RapidSpin StealthRock 
Moxie,MysticWater,AquaStep CloseCombat AquaJet SwordsDance 
Moxie,LumBerry,Waterfall Earthquake DragonDance ThunderWave 
QuarkDrive,CovertCloak,Earthquake IronHead StoneEdge RapidSpin 
BeadsofRuin,ChoiceScarf,FireBlast DarkPulse TeraBlast Psychic 
QuarkDrive,AirBalloon,ElectricTerrain StoneEdge WildCharge Earthquake 
ElectricSurge,TerrainExtender,Memento Spikes ToxicSpikes Discharge 
QuarkDrive,HeavyDutyBoots,HydroPump IceBeam TeraBlast FlipTurn 
Defiant,ChoiceBand,RageFist DrainPunch Earthquake StoneEdge 
PurifyingSalt,Leftovers,StealthRock BodyPress SaltCure Recover 
Protosynthesis,ChoiceSpecs,ShadowBall Moonblast MysticalFire Thunderbolt 
WaterAbsorb,BlackSludge,Spikes Toxic Recover Earthquake 
ZerotoHero,ChoiceBand,JetPunch CloseCombat WaveCrash ZenHeadbutt 
Pressure,RockyHelmet,BraveBird BodyPress Roost Uturn 
Swarm,Leftovers,BulletPunch Uturn CloseCombat Defog 
SandStream,SmoothRock,StoneEdge TeraBlast Earthquake StealthRock 
SandRush,ChoiceScarf,LastRespects PsychicFangs TeraBlast PlayRough 
ZerotoHero,ChoiceBand,JetPunch WaveCrash FlipTurn ZenHeadbutt 
WaterAbsorb,BlackSludge,Recover Spikes Toxic Earthquake 
Pressure,RockyHelmet,BodyPress IronDefense Defog Roost 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain FocusBlast Trick 
Technician,LoadedDice,MachPunch BulletSeed SwordsDance Spore 
SwordofRuin,ChoiceBand,IceShard Crunch IceSpinner SacredSword 
Protean,ExpertBelt,KnockOff PetalBlizzard LowKick Uturn 
Unaware,Leftovers,StealthRock Earthquake Recover GunkShot 
QuarkDrive,BoosterEnergy,Earthquake RapidSpin IceSpinner HeavySlam 
Unaware,Leftovers,Avalanche Liquidation Rest SleepTalk 
Protosynthesis,BoosterEnergy,Moonblast ShadowBall Psyshock CalmMind 
SwordofRuin,LifeOrb,IceSpinner SuckerPunch TeraBlast SacredSword 
QuarkDrive,BoosterEnergy,Earthquake HeavySlam KnockOff StealthRock 
QuarkDrive,ChoiceScarf,SludgeWave FireBlast Discharge ToxicSpikes 
RoughSkin,RockyHelmet,Spikes StealthRock Earthquake DragonClaw 
Intimidate,HeavyDutyBoots,Waterfall Earthquake StoneEdge DragonDance 
Protosynthesis,LifeOrb,ShadowBall Moonblast SunnyDay Psyshock 
Protosynthesis,LifeOrb,DragonDance ScaleShot Earthquake TeraBlast 
Protosynthesis,ChopleBerry,SuckerPunch BodyPress Spore Synthesis 
Regenerator,HeatRock,ShedTail SunnyDay KnockOff RapidSpin 
Protosynthesis,ChoiceScarf,HeadSmash HeadlongRush CloseCombat RapidSpin 
WeakArmor,FocusSash,SwordsDance ShadowSneak CloseCombat BitterBlade 
Protosynthesis,BoosterEnergy,DragonDance IronHead Crunch Earthquake 
Regenerator,AguavBerry,ShedTail KnockOff RapidSpin TeraBlast 
BeadsofRuin,ChoiceScarf,FireBlast DarkPulse TeraBlast Memento 
Protosynthesis,BoosterEnergy,ShadowBall Moonblast MysticalFire Thunderbolt 
WaterAbsorb,Leftovers,Earthquake StealthRock Toxic Recover 
QuarkDrive,AssaultVest,Earthquake KnockOff IceSpinner RapidSpin 
NaturalCure,HeavyDutyBoots,SoftBoiled SeismicToss ThunderWave StealthRock 
Regenerator,RockyHelmet,FoulPlay GigaDrain SludgeBomb Spore 
Regenerator,BlackSludge,Toxic ToxicSpikes Haze Liquidation 
Pressure,HeavyDutyBoots,BodyPress Uturn Roost Defog 
VesselofRuin,Leftovers,Whirlwind Ruination Spikes Earthquake 
Unaware,HeavyDutyBoots,TorchSong WillOWisp Hex SlackOff 
MoldBreaker,ChoiceBand,GigatonHammer PlayRough IceHammer KnockOff 
ZerotoHero,ChoiceBand,FlipTurn WaveCrash JetPunch CloseCombat 
Protosynthesis,BoosterEnergy,CalmMind ShadowBall Moonblast Psyshock 
Pressure,HeavyDutyBoots,BraveBird Uturn Roost Defog 
Levitate,Leftovers,VoltSwitch HydroPump ThunderWave Protect 
VesselofRuin,Leftovers,Whirlwind Ruination Spikes Earthquake 
Infiltrator,HeavyDutyBoots,Uturn DracoMeteor FireBlast WillOWisp 
Defiant,ChoiceBand,SuckerPunch KowtowCleave IronHead LowKick 
Protosynthesis,BoosterEnergy,Earthquake RapidSpin StealthRock CloseCombat 
ZerotoHero,ChoiceScarf,FlipTurn WaveCrash CloseCombat IcePunch 
Levitate,HeavyDutyBoots,Overheat VoltSwitch ThunderWave TeraBlast 
Regenerator,BlackSludge,Spore SludgeBomb ClearSmog GigaDrain 
QuarkDrive,ChoiceSpecs,FreezeDry HydroPump IceBeam Uturn 
ElectricSurge,TerrainExtender,Discharge Spikes Recover Surf 
QuarkDrive,LifeOrb,SpiritBreak CloseCombat ThunderPunch SwordsDance 
QuarkDrive,Leftovers,Earthquake IronHead RapidSpin StealthRock 
QuarkDrive,ChoiceSpecs,DarkPulse Hurricane FireBlast FlashCannon 
QuarkDrive,AssaultVest,ThunderPunch DrainPunch HeavySlam VoltSwitch 
ZerotoHero,Leftovers,BulkUp Taunt JetPunch DrainPunch 
ToxicDebris,FocusSash,StealthRock Spikes MortalSpin Memento 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain FocusBlast Trick 
Regenerator,EjectButton,ShedTail KnockOff Uturn TeraBlast 
Fluffy,Leftovers,LastRespects BodyPress WillOWisp Protect 
Protosynthesis,BoosterEnergy,DragonDance Acrobatics JawLock Earthquake 
ToxicDebris,FocusSash,StealthRock MortalSpin PowerGem EarthPower 
Protosynthesis,ChoiceScarf,Moonblast ShadowBall Psyshock MysticalFire 
Infiltrator,HeavyDutyBoots,Hex DracoMeteor Uturn Flamethrower 
Technician,LoadedDice,BulletSeed MachPunch Spore RockTomb 
QuarkDrive,AssaultVest,RapidSpin KnockOff Earthquake VoltSwitch 
Technician,Leftovers,Uturn BulletPunch SwordsDance Pounce 
QuarkDrive,AssaultVest,RapidSpin KnockOff Earthquake VoltSwitch 
EarthEater,SitrusBerry,BodyPress Spikes ShedTail IronHead 
Technician,LoadedDice,BulletSeed MachPunch SwordsDance GunkShot 
ZerotoHero,Leftovers,JetPunch DrainPunch Taunt BulkUp 
BeadsofRuin,ChoiceScarf,FireBlast DarkPulse TeraBlast Psychic 
FlameBody,HeavyDutyBoots,QuiverDance Uturn Flamethrower BugBuzz 
Pressure,RockyHelmet,Roost Defog Uturn BraveBird 
Technician,LifeOrb,BulletPunch Uturn SwordsDance CloseCombat 
Infiltrator,HeavyDutyBoots,Hex DracoMeteor WillOWisp Uturn 
WaterAbsorb,Leftovers,Recover StealthRock Toxic Earthquake 
Drizzle,HeavyDutyBoots,Surf Roost Hurricane Uturn 
SwiftSwim,ChoiceBand,Liquidation CloseCombat PsychicFangs DrillRun 
Protosynthesis,HeavyDutyBoots,Crunch DragonClaw TeraBlast DragonDance 
Drought,HeatRock,StealthRock RapidSpin LavaPlume Yawn 
Chlorophyll,LifeOrb,Growth Flamethrower GigaDrain TeraBlast 
VesselofRuin,AssaultVest,Earthquake ThroatChop HeavySlam Ruination 
NaturalCure,HeavyDutyBoots,HealBell ThunderWave SeismicToss SoftBoiled 
Unaware,RockyHelmet,BodyPress Rest SleepTalk Yawn 
Regenerator,ColburBerry,Surf BodyPress FutureSight SlackOff 
Pressure,RockyHelmet,BodyPress IronDefense Defog Roost 
WaterAbsorb,BlackSludge,Earthquake Toxic Spikes Recover 
PurifyingSalt,Leftovers,SaltCure BodyPress IronDefense Recover 
SandStream,SmoothRock,Earthquake Whirlwind StealthRock SlackOff 
SandRush,Leftovers,LastRespects BodyPress WillOWisp Protect 
WeakArmor,LifeOrb,SwordsDance BitterBlade ShadowSneak CloseCombat 
ZerotoHero,HeavyDutyBoots,FlipTurn WaveCrash JetPunch CloseCombat 
VesselofRuin,Leftovers,Spikes Earthquake ThroatChop StealthRock 
QuarkDrive,BoosterEnergy,SwordsDance SpiritBreak DrainPunch Taunt 
Protosynthesis,BoosterEnergy,VoltSwitch MirrorCoat EarthPower Thunderbolt 
Infiltrator,HeavyDutyBoots,Uturn DracoMeteor WillOWisp Hex 
Drizzle,ChoiceSpecs,Uturn Hurricane HydroPump TeraBlast 
ZerotoHero,PunchingGlove,BulkUp JetPunch DrainPunch IcePunch 
Moxie,ChoiceScarf,WaveCrash AquaJet BraveBird CloseCombat 
Regenerator,BlackSludge,Spore Protect GigaDrain SludgeBomb 
QuarkDrive,BoosterEnergy,Earthquake IceSpinner RapidSpin KnockOff 
Protosynthesis,BoosterEnergy,Moonblast MysticalFire ShadowBall CalmMind 
GoodasGold,ChoiceSpecs,ShadowBall MakeItRain FocusBlast Thunderbolt 
Protosynthesis,ChoiceScarf,Uturn CloseCombat LeechLife WildCharge 
QuarkDrive,Leftovers,Earthquake RapidSpin StealthRock VoltSwitch 
Protean,BlackGlasses,Spikes KnockOff Uturn PlayRough 
Protosynthesis,ChoiceScarf,ShadowBall Psyshock Moonblast MysticalFire 
OwnTempo,AssaultVest,GigatonHammer KnockOff PlayRough FakeOut 
Protosynthesis,BoosterEnergy,Gravity Spikes EarthPower Thunder 
Protosynthesis,BoosterEnergy,HeadlongRush RapidSpin HeadSmash CloseCombat 
NaturalCure,Eviolite,StealthRock SoftBoiled Gravity Sing 
GoodasGold,Leftovers,MakeItRain ShadowBall ThunderWave Recover 
Stakeout,HeavyDutyBoots,StickyWeb Spikes CircleThrow Uturn 
BeadsofRuin,WideLens,Inferno DarkPulse FireBlast Taunt 
Unaware,Leftovers,Rest Waterfall Earthquake SleepTalk 
Unaware,Leftovers,Earthquake Toxic Recover StealthRock 
MirrorArmor,Leftovers,Roost Uturn IronHead Defog 
PurifyingSalt,Leftovers,SaltCure Recover BodyPress IronDefense 
QuarkDrive,Leftovers,DrainPunch SwordsDance IcePunch WildCharge 
ZerotoHero,ChoiceScarf,FlipTurn WaveCrash CloseCombat JetPunch 
Drought,ChoiceSpecs,Eruption EarthPower AncientPower SolarBeam 
Prankster,MentalHerb,SteelBeam FoulPlay Spikes TrickRoom 
Disguise,RedCard,PlayRough ShadowClaw Curse TrickRoom 
MagicBounce,FocusSash,Psychic DazzlingGleam TrickRoom HealingWish 
Technician,LoadedDice,BulletSeed TeraBlast RockTomb Spore 
SupremeOverlord,LifeOrb,IronHead SuckerPunch ZenHeadbutt BrickBreak 
Protean,ChoiceBand,Uturn SuckerPunch KnockOff FlowerTrick 
Drought,HeatRock,LavaPlume SolarBeam StealthRock WillOWisp 
FlashFire,ChoiceScarf,ArmorCannon Psyshock EnergyBall AuraSphere 
Protosynthesis,HeavyDutyBoots,RapidSpin HeadlongRush BrickBreak IceSpinner 
WaterAbsorb,Leftovers,Spikes Recover Haze Earthquake 
GoodasGold,ShucaBerry,MakeItRain Recover Memento ThunderWave 
QuarkDrive,BoosterEnergy,DragonDance StoneEdge Earthquake StealthRock 
Prankster,LightClay,Reflect LightScreen Taunt PartingShot 
ThermalExchange,Leftovers,DragonDance GlaiveRush IcicleCrash Earthquake 
SwordofRuin,HeavyDutyBoots,SwordsDance Crunch IcicleCrash SacredSword 
Regenerator,SitrusBerry,RapidSpin Taunt ShedTail KnockOff 
SpeedBoost,Leftovers,CalmMind LuminaCrash TeraBlast Roost 
QuarkDrive,BoosterEnergy,SpiritBreak CloseCombat PsychoCut ShadowSneak 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall Thunderbolt Trick 
Intimidate,HeavyDutyBoots,QuiverDance Hurricane HydroPump StickyWeb 
ToxicDebris,ChoiceSpecs,EarthPower EnergyBall SludgeWave Spikes 
Unaware,Leftovers,Curse Liquidation Rest BodyPress 
Regenerator,SitrusBerry,ShedTail RapidSpin KnockOff Taunt 
QuarkDrive,BoosterEnergy,Moonblast CloseCombat Thunderbolt TeraBlast 
BeadsofRuin,ChoiceSpecs,LavaPlume DarkPulse Overheat Psychic 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Substitute 
Protosynthesis,ChoiceScarf,HeadlongRush CloseCombat RapidSpin StealthRock 
Levitate,Leftovers,HydroPump VoltSwitch NastyPlot ThunderWave 
Pressure,RockyHelmet,IronHead Uturn Defog Roost 
SpeedBoost,Leftovers,StoredPower CalmMind Roost DazzlingGleam 
FlameBody,HeavyDutyBoots,QuiverDance BugBuzz FireBlast GigaDrain 
Prankster,LightClay,PartingShot Reflect LightScreen Taunt 
RoughSkin,LifeOrb,Earthquake TeraBlast Spikes StealthRock 
Imposter,ChoiceScarf,Transform None None None 
Pressure,WeaknessPolicy,PowerTrip Roost BulkUp Agility 
Drought,HeatRock,HeatWave SolarBeam EarthPower Yawn 
RoughSkin,RockyHelmet,StealthRock Spikes Earthquake DragonTail 
Protosynthesis,ChoiceBand,DragonClaw Crunch IronHead Uturn 
Protosynthesis,Leftovers,RapidSpin CloseCombat Earthquake PlayRough 
Regenerator,HeavyDutyBoots,ShedTail Uturn Taunt RapidSpin 
SwordofRuin,HeavyDutyBoots,SwordsDance IceSpinner Crunch PsychicFangs 
Protosynthesis,BoosterEnergy,CalmMind Psyshock Moonblast Hex 
ZerotoHero,ChoiceBand,FlipTurn JetPunch WaveCrash CloseCombat 
GoodasGold,LightClay,MakeItRain Reflect LightScreen ThunderWave 
QuarkDrive,HeavyDutyBoots,Venoshock MorningSun FieryDance ToxicSpikes 
TintedLens,HeavyDutyBoots,FirstImpression SuckerPunch Uturn AxeKick 
PoisonHeal,ToxicOrb,MachPunch Spore CloseCombat TeraBlast 
QuarkDrive,BoosterEnergy,Agility FieryDance Discharge BugBuzz 
PunkRock,ChoiceSpecs,Boomburst Overdrive VoltSwitch SludgeBomb 
Infiltrator,ChoiceSpecs,DracoMeteor FireBlast ShadowBall Uturn 
HugePower,ChoiceBand,AquaJet PlayRough Liquidation Superpower 
Protosynthesis,BoosterEnergy,DragonDance Outrage Earthquake Acrobatics 
Protean,AssaultVest,Uturn SuckerPunch PetalBlizzard PlayRough 
ToxicDebris,FocusSash,StealthRock Spikes MortalSpin EarthPower 
TabletsofRuin,Leftovers,LeechSeed KnockOff Substitute GrassKnot 
Unaware,Leftovers,Curse WaveCrash Earthquake Avalanche 
Technician,ChoiceBand,BulletPunch Uturn CloseCombat NightSlash 
Levitate,ChoiceScarf,VoltSwitch ShadowBall HydroPump Trick 
GoodasGold,AirBalloon,MakeItRain DazzlingGleam Thunderbolt ShadowBall 
Drought,HeatRock,SunnyDay Eruption ClearSmog RapidSpin 
Regenerator,EjectButton,ShedTail RapidSpin Uturn KnockOff 
ToxicDebris,FocusSash,Spikes StealthRock MortalSpin Memento 
FlashFire,Leftovers,BulkUp WillOWisp BitterBlade SolarBlade 
Protosynthesis,LifeOrb,DragonDance JawLock IronHead Earthquake 
GoodasGold,ChoiceScarf,Trick MakeItRain ShadowBall FocusBlast 
Regenerator,SitrusBerry,ShedTail DracoMeteor Overheat RapidSpin 
Pressure,RockyHelmet,Uturn BodyPress Defog Roost 
QuarkDrive,SitrusBerry,Earthquake StealthRock VoltSwitch KnockOff 
Levitate,AssaultVest,VoltSwitch HydroPump Discharge DarkPulse 
Protosynthesis,BoosterEnergy,Acrobatics Crunch DragonDance Earthquake 
GoodasGold,Leftovers,ShadowBall MakeItRain ThunderWave Recover 
BeadsofRuin,ChoiceSpecs,Flamethrower DarkPulse Overheat Psychic 
RoughSkin,ChoiceScarf,StealthRock DragonClaw Earthquake Outrage 
ZerotoHero,Leftovers,BulkUp Taunt DrainPunch JetPunch 
MirrorArmor,RockyHelmet,BraveBird Roost Defog Uturn 
PoisonHeal,ToxicOrb,Spore SeedBomb MachPunch TeraBlast 
Protosynthesis,Leftovers,Wish Protect DazzlingGleam CalmMind 
ZerotoHero,Leftovers,BulkUp Taunt JetPunch DrainPunch 
Regenerator,HeavyDutyBoots,RapidSpin KnockOff ShedTail Taunt 
Imposter,ChoiceScarf,Transform None None None 
QuarkDrive,BoosterEnergy,SwordsDance SpiritBreak CloseCombat ZenHeadbutt 
Protosynthesis,AirBalloon,StealthRock EarthPower Thunderbolt VoltSwitch 
ClearBody,HeavyDutyBoots,WillOWisp Hex Uturn DracoMeteor 
Prankster,LightClay,LightScreen Reflect Taunt PartingShot 
Technician,LifeOrb,BulletPunch TeraBlast CloseCombat SwordsDance 
Intimidate,HeavyDutyBoots,Waterfall TeraBlast DragonDance Taunt 
Protosynthesis,BoosterEnergy,RapidSpin BulkUp Earthquake CloseCombat 
QuarkDrive,BoosterEnergy,HydroPump FreezeDry Agility IceBeam 
SpeedBoost,Leftovers,CalmMind Substitute StoredPower DazzlingGleam 
TintedLens,LifeOrb,FirstImpression SuckerPunch Uturn ThroatChop 
GoodasGold,AirBalloon,ShadowBall MakeItRain Recover NastyPlot 
WaterAbsorb,MentalHerb,Toxic Spikes Recover Earthquake 
Protosynthesis,BoosterEnergy,HeadlongRush CloseCombat RapidSpin StealthRock 
Technician,ChoiceBand,Uturn BulletPunch CloseCombat TeraBlast 
QuarkDrive,BoosterEnergy,IceBeam HydroPump TeraBlast FreezeDry 
QuarkDrive,FocusSash,StealthRock RapidSpin Earthquake IceSpinner 
Infiltrator,ChoiceSpecs,Flamethrower DracoMeteor ShadowBall Surf 
SupremeOverlord,BlackGlasses,SuckerPunch KowtowCleave SwordsDance BrickBreak 
QuarkDrive,BoosterEnergy,IceBeam HydroPump FreezeDry TeraBlast 
ZerotoHero,Leftovers,JetPunch DrainPunch Taunt BulkUp 
Technician,ChoiceBand,Uturn BulletPunch CloseCombat TeraBlast 
Chlorophyll,ScopeLens,LeafBlade SwordsDance TeraBlast DoubleEdge 
Drought,HeatRock,RapidSpin StealthRock Yawn LavaPlume 
MagicBounce,AirBalloon,CalmMind Psyshock DazzlingGleam MysticalFire 
BeadsofRuin,ChoiceScarf,DarkPulse Flamethrower Psychic Memento 
WaterAbsorb,Leftovers,Spikes Toxic Recover Earthquake 
Unaware,Leftovers,Rest SleepTalk BodyPress Liquidation 
Regenerator,RockyHelmet,FoulPlay Spore GigaDrain Toxic 
BeadsofRuin,HeavyDutyBoots,Flamethrower Taunt DarkPulse Snarl 
Infiltrator,HeavyDutyBoots,WillOWisp Hex Uturn DracoMeteor 
Protosynthesis,Leftovers,Earthquake RapidSpin KnockOff StealthRock 
Regenerator,HeavyDutyBoots,Surf SlackOff ChillyReception FutureSight 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall FocusBlast Trick 
WaterAbsorb,RockyHelmet,StealthRock Recover Toxic Earthquake 
Unaware,Leftovers,SlackOff WillOWisp TorchSong Hex 
QuarkDrive,AssaultVest,DrainPunch CloseCombat VoltSwitch ThunderPunch 
MoldBreaker,RockyHelmet,Rest SleepTalk PlayRough GigatonHammer 
Harvest,AguavBerry,LeechSeed Protect EnergyBall HyperBeam 
QuarkDrive,ChoiceScarf,FlipTurn IceBeam Whirlpool HydroPump 
WaterAbsorb,RockyHelmet,Spikes Recover Toxic Earthquake 
MirrorArmor,HeavyDutyBoots,Uturn Roost Defog IronHead 
QuarkDrive,AssaultVest,DrainPunch CloseCombat VoltSwitch WildCharge 
Unaware,Leftovers,SlackOff WillOWisp TorchSong ShadowBall 
TabletsofRuin,Leftovers,LeechSeed Protect DarkPulse EnergyBall 
QuarkDrive,ChoiceSpecs,Uturn FreezeDry IceBeam HydroPump 
TintedLens,LifeOrb,FirstImpression SwordsDance SuckerPunch LeechLife 
RoughSkin,RockyHelmet,StealthRock SwordsDance Earthquake DragonClaw 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain DazzlingGleam Trick 
