pkmn,ability,item,team,moves
Clodsire,Unaware,RockyHelmet,Skeledirge Corviknight Annihilape Meowscarada Amoonguss ,Recover StealthRock Earthquake Toxic 
Tinkaton,MoldBreaker,Leftovers,Slowking Corviknight SlitherWing IronMoth TingLu ,GigatonHammer KnockOff Protect SwordsDance 
Slowking,Regenerator,HeavyDutyBoots,Tinkaton Corviknight SlitherWing IronMoth TingLu ,Surf FutureSight SlackOff Protect 
Corviknight,Pressure,Leftovers,Tinkaton Slowking SlitherWing IronMoth TingLu ,BodyPress Uturn Defog Roost 
SlitherWing,Protosynthesis,HeavyDutyBoots,Tinkaton Slowking Corviknight IronMoth TingLu ,FirstImpression CloseCombat Uturn Earthquake 
IronMoth,QuarkDrive,BoosterEnergy,Tinkaton Slowking Corviknight SlitherWing TingLu ,Agility FieryDance SludgeWave Discharge 
TingLu,VesselofRuin,Leftovers,Tinkaton Slowking Corviknight SlitherWing IronMoth ,Earthquake StealthRock Ruination Whirlwind 
Pincurchin,ElectricSurge,TerrainExtender,IronValiant IronMoth IronTreads Skeledirge ChienPao ,Spikes ToxicSpikes Memento ThunderWave 
IronValiant,QuarkDrive,BoosterEnergy,Pincurchin IronMoth IronTreads Skeledirge ChienPao ,TeraBlast CloseCombat SwordsDance KnockOff 
IronMoth,QuarkDrive,Leftovers,Pincurchin IronValiant IronTreads Skeledirge ChienPao ,Agility FieryDance SludgeWave Discharge 
IronTreads,QuarkDrive,AssaultVest,Pincurchin IronValiant IronMoth Skeledirge ChienPao ,Earthquake RapidSpin VoltSwitch KnockOff 
Skeledirge,Unaware,HeavyDutyBoots,Pincurchin IronValiant IronMoth IronTreads ChienPao ,TorchSong ShadowBall EarthPower SlackOff 
ChienPao,SwordofRuin,HeavyDutyBoots,Pincurchin IronValiant IronMoth IronTreads Skeledirge ,SwordsDance IcicleCrash ThroatChop SuckerPunch 
Clodsire,Unaware,BlackSludge,Breloom Skeledirge Blissey Corviknight Gastrodon ,Earthquake GunkShot ToxicSpikes Recover 
Breloom,Technician,ChoiceBand,Clodsire Skeledirge Blissey Corviknight Gastrodon ,BulletSeed MachPunch RockTomb Spore 
Skeledirge,Unaware,HeavyDutyBoots,Clodsire Breloom Blissey Corviknight Gastrodon ,TorchSong Hex WillOWisp SlackOff 
Blissey,NaturalCure,Leftovers,Clodsire Breloom Skeledirge Corviknight Gastrodon ,DazzlingGleam ThunderWave HealBell SoftBoiled 
Corviknight,Pressure,Leftovers,Clodsire Breloom Skeledirge Blissey Gastrodon ,BodyPress IronDefense Defog Roost 
Gastrodon,StormDrain,Leftovers,Clodsire Breloom Skeledirge Blissey Corviknight ,HydroPump EarthPower Spikes Recover 
Grimmsnarl,Prankster,LightClay,Cyclizar FlutterMane RoaringMoon IronBundle ChienPao ,Reflect LightScreen Taunt PartingShot 
Cyclizar,Regenerator,ChoiceScarf,Grimmsnarl FlutterMane RoaringMoon IronBundle ChienPao ,ShedTail Taunt RapidSpin Uturn 
FlutterMane,Protosynthesis,BoosterEnergy,Grimmsnarl Cyclizar RoaringMoon IronBundle ChienPao ,CalmMind ShadowBall Moonblast MysticalFire 
RoaringMoon,Protosynthesis,BoosterEnergy,Grimmsnarl Cyclizar FlutterMane IronBundle ChienPao ,DragonDance Crunch Acrobatics Earthquake 
IronBundle,QuarkDrive,BoosterEnergy,Grimmsnarl Cyclizar FlutterMane RoaringMoon ChienPao ,Agility FreezeDry HydroPump TeraBlast 
ChienPao,SwordofRuin,BlackGlasses,Grimmsnarl Cyclizar FlutterMane RoaringMoon IronBundle ,SwordsDance SuckerPunch Crunch IcicleCrash 
Alomomola,Regenerator,RockyHelmet,Corviknight Avalugg Blissey Clodsire Sylveon ,Wish Protect Liquidation MirrorCoat 
Corviknight,MirrorArmor,Leftovers,Alomomola Avalugg Blissey Clodsire Sylveon ,Roost Uturn IronHead Defog 
Avalugg,Sturdy,HeavyDutyBoots,Alomomola Corviknight Blissey Clodsire Sylveon ,RapidSpin IceSpinner BodyPress Recover 
Blissey,NaturalCure,HeavyDutyBoots,Alomomola Corviknight Avalugg Clodsire Sylveon ,HealBell SoftBoiled SeismicToss ShadowBall 
Clodsire,Unaware,Leftovers,Alomomola Corviknight Avalugg Blissey Sylveon ,StealthRock Earthquake Recover Curse 
Sylveon,Pixilate,Leftovers,Alomomola Corviknight Avalugg Blissey Clodsire ,CalmMind Wish Protect HyperVoice 
RoaringMoon,Protosynthesis,BoosterEnergy,IronTreads Slowking FlutterMane Kingambit Cetitan ,DragonDance ScaleShot IronHead Earthquake 
IronTreads,QuarkDrive,BoosterEnergy,RoaringMoon Slowking FlutterMane Kingambit Cetitan ,StealthRock Earthquake KnockOff RapidSpin 
Slowking,Regenerator,ColburBerry,RoaringMoon IronTreads FlutterMane Kingambit Cetitan ,ChillyReception ThunderWave FoulPlay SlackOff 
FlutterMane,Protosynthesis,BoosterEnergy,RoaringMoon IronTreads Slowking Kingambit Cetitan ,ShadowBall Moonblast MysticalFire CalmMind 
Kingambit,SupremeOverlord,BlackGlasses,RoaringMoon IronTreads Slowking FlutterMane Cetitan ,SwordsDance SuckerPunch KowtowCleave IronHead 
Cetitan,SlushRush,LifeOrb,RoaringMoon IronTreads Slowking FlutterMane Kingambit ,IcicleCrash Superpower Earthquake TeraBlast 
Tyranitar,SandStream,SmoothRock,Houndstone Clodsire Corviknight FlutterMane Breloom ,ThunderWave StealthRock Crunch StoneEdge 
Houndstone,SandRush,SpellTag,Tyranitar Clodsire Corviknight FlutterMane Breloom ,BodyPress LastRespects TeraBlast Crunch 
Clodsire,WaterAbsorb,BlackSludge,Tyranitar Houndstone Corviknight FlutterMane Breloom ,Spikes Recover PoisonJab Earthquake 
Corviknight,Pressure,Leftovers,Tyranitar Houndstone Clodsire FlutterMane Breloom ,BodyPress Roost BraveBird Defog 
FlutterMane,Protosynthesis,ChoiceSpecs,Tyranitar Houndstone Clodsire Corviknight Breloom ,ShadowBall Moonblast MysticalFire Thunderbolt 
Breloom,Technician,LifeOrb,Tyranitar Houndstone Clodsire Corviknight FlutterMane ,MachPunch CloseCombat BulletSeed Spore 
Clodsire,Unaware,Leftovers,IronTreads Blissey Skeledirge Slowbro Umbreon ,ToxicSpikes Recover Earthquake StealthRock 
IronTreads,QuarkDrive,Leftovers,Clodsire Blissey Skeledirge Slowbro Umbreon ,BodyPress KnockOff IronDefense RapidSpin 
Blissey,NaturalCure,UtilityUmbrella,Clodsire IronTreads Skeledirge Slowbro Umbreon ,IceBeam SoftBoiled HealBell SeismicToss 
Skeledirge,Unaware,HeavyDutyBoots,Clodsire IronTreads Blissey Slowbro Umbreon ,WillOWisp TorchSong Hex SlackOff 
Slowbro,Regenerator,ColburBerry,Clodsire IronTreads Blissey Skeledirge Umbreon ,IronDefense BodyPress SlackOff Surf 
Umbreon,InnerFocus,Leftovers,Clodsire IronTreads Blissey Skeledirge Slowbro ,Wish FoulPlay Protect Yawn 
Pelipper,Drizzle,DampRock,Pincurchin Barraskewda IronValiant IronBundle IronTreads ,KnockOff Hurricane Roost Uturn 
Pincurchin,ElectricSurge,TerrainExtender,Pelipper Barraskewda IronValiant IronBundle IronTreads ,Discharge Surf Spikes ToxicSpikes 
Barraskewda,SwiftSwim,LifeOrb,Pelipper Pincurchin IronValiant IronBundle IronTreads ,Liquidation CloseCombat PsychicFangs AquaJet 
IronValiant,QuarkDrive,Leftovers,Pelipper Pincurchin Barraskewda IronBundle IronTreads ,DrainPunch SpiritBreak ThunderPunch Substitute 
IronBundle,QuarkDrive,ChoiceSpecs,Pelipper Pincurchin Barraskewda IronValiant IronTreads ,HydroPump FreezeDry IceBeam FlipTurn 
IronTreads,QuarkDrive,Leftovers,Pelipper Pincurchin Barraskewda IronValiant IronBundle ,Earthquake RapidSpin VoltSwitch StealthRock 
Pelipper,Drizzle,DampRock,IronBundle Grimmsnarl IronTreads Quaquaval Gyarados ,Hurricane Surf Uturn Roost 
IronBundle,QuarkDrive,ChoiceSpecs,Pelipper Grimmsnarl IronTreads Quaquaval Gyarados ,FreezeDry HydroPump IceBeam FlipTurn 
Grimmsnarl,Prankster,LightClay,Pelipper IronBundle IronTreads Quaquaval Gyarados ,Reflect LightScreen PartingShot SpiritBreak 
IronTreads,QuarkDrive,Leftovers,Pelipper IronBundle Grimmsnarl Quaquaval Gyarados ,Earthquake HeavySlam RapidSpin StealthRock 
Quaquaval,Moxie,MysticWater,Pelipper IronBundle Grimmsnarl IronTreads Gyarados ,AquaStep CloseCombat AquaJet SwordsDance 
Gyarados,Moxie,LumBerry,Pelipper IronBundle Grimmsnarl IronTreads Quaquaval ,Waterfall Earthquake DragonDance ThunderWave 
IronTreads,QuarkDrive,CovertCloak,ChiYu IronThorns Pincurchin IronBundle Annihilape ,Earthquake IronHead StoneEdge RapidSpin 
ChiYu,BeadsofRuin,ChoiceScarf,IronTreads IronThorns Pincurchin IronBundle Annihilape ,FireBlast DarkPulse TeraBlast Psychic 
IronThorns,QuarkDrive,AirBalloon,IronTreads ChiYu Pincurchin IronBundle Annihilape ,ElectricTerrain StoneEdge WildCharge Earthquake 
Pincurchin,ElectricSurge,TerrainExtender,IronTreads ChiYu IronThorns IronBundle Annihilape ,Memento Spikes ToxicSpikes Discharge 
IronBundle,QuarkDrive,HeavyDutyBoots,IronTreads ChiYu IronThorns Pincurchin Annihilape ,HydroPump IceBeam TeraBlast FlipTurn 
Annihilape,Defiant,ChoiceBand,IronTreads ChiYu IronThorns Pincurchin IronBundle ,RageFist DrainPunch Earthquake StoneEdge 
Garganacl,PurifyingSalt,Leftovers,FlutterMane Clodsire Palafin Corviknight Scizor ,StealthRock BodyPress SaltCure Recover 
FlutterMane,Protosynthesis,ChoiceSpecs,Garganacl Clodsire Palafin Corviknight Scizor ,ShadowBall Moonblast MysticalFire Thunderbolt 
Clodsire,WaterAbsorb,BlackSludge,Garganacl FlutterMane Palafin Corviknight Scizor ,Spikes Toxic Recover Earthquake 
Palafin,ZerotoHero,ChoiceBand,Garganacl FlutterMane Clodsire Corviknight Scizor ,JetPunch CloseCombat WaveCrash ZenHeadbutt 
Corviknight,Pressure,RockyHelmet,Garganacl FlutterMane Clodsire Palafin Scizor ,BraveBird BodyPress Roost Uturn 
Scizor,Swarm,Leftovers,Garganacl FlutterMane Clodsire Palafin Corviknight ,BulletPunch Uturn CloseCombat Defog 
Tyranitar,SandStream,SmoothRock,Houndstone Palafin Clodsire Corviknight Gholdengo ,StoneEdge TeraBlast Earthquake StealthRock 
Houndstone,SandRush,ChoiceScarf,Tyranitar Palafin Clodsire Corviknight Gholdengo ,LastRespects PsychicFangs TeraBlast PlayRough 
Palafin,ZerotoHero,ChoiceBand,Tyranitar Houndstone Clodsire Corviknight Gholdengo ,JetPunch WaveCrash FlipTurn ZenHeadbutt 
Clodsire,WaterAbsorb,BlackSludge,Tyranitar Houndstone Palafin Corviknight Gholdengo ,Recover Spikes Toxic Earthquake 
Corviknight,Pressure,RockyHelmet,Tyranitar Houndstone Palafin Clodsire Gholdengo ,BodyPress IronDefense Defog Roost 
Gholdengo,GoodasGold,ChoiceScarf,Tyranitar Houndstone Palafin Clodsire Corviknight ,ShadowBall MakeItRain FocusBlast Trick 
Breloom,Technician,LoadedDice,ChienPao Meowscarada Clodsire IronTreads Dondozo ,MachPunch BulletSeed SwordsDance Spore 
ChienPao,SwordofRuin,ChoiceBand,Breloom Meowscarada Clodsire IronTreads Dondozo ,IceShard Crunch IceSpinner SacredSword 
Meowscarada,Protean,ExpertBelt,Breloom ChienPao Clodsire IronTreads Dondozo ,KnockOff PetalBlizzard LowKick Uturn 
Clodsire,Unaware,Leftovers,Breloom ChienPao Meowscarada IronTreads Dondozo ,StealthRock Earthquake Recover GunkShot 
IronTreads,QuarkDrive,BoosterEnergy,Breloom ChienPao Meowscarada Clodsire Dondozo ,Earthquake RapidSpin IceSpinner HeavySlam 
Dondozo,Unaware,Leftovers,Breloom ChienPao Meowscarada Clodsire IronTreads ,Avalanche Liquidation Rest SleepTalk 
FlutterMane,Protosynthesis,BoosterEnergy,ChienPao IronTreads IronMoth Garchomp Gyarados ,Moonblast ShadowBall Psyshock CalmMind 
ChienPao,SwordofRuin,LifeOrb,FlutterMane IronTreads IronMoth Garchomp Gyarados ,IceSpinner SuckerPunch TeraBlast SacredSword 
IronTreads,QuarkDrive,BoosterEnergy,FlutterMane ChienPao IronMoth Garchomp Gyarados ,Earthquake HeavySlam KnockOff StealthRock 
IronMoth,QuarkDrive,ChoiceScarf,FlutterMane ChienPao IronTreads Garchomp Gyarados ,SludgeWave FireBlast Discharge ToxicSpikes 
Garchomp,RoughSkin,RockyHelmet,FlutterMane ChienPao IronTreads IronMoth Gyarados ,Spikes StealthRock Earthquake DragonClaw 
Gyarados,Intimidate,HeavyDutyBoots,FlutterMane ChienPao IronTreads IronMoth Garchomp ,Waterfall Earthquake StoneEdge DragonDance 
FlutterMane,Protosynthesis,LifeOrb,RoaringMoon BruteBonnet Cyclizar GreatTusk Ceruledge ,ShadowBall Moonblast SunnyDay Psyshock 
RoaringMoon,Protosynthesis,LifeOrb,FlutterMane BruteBonnet Cyclizar GreatTusk Ceruledge ,DragonDance ScaleShot Earthquake TeraBlast 
BruteBonnet,Protosynthesis,ChopleBerry,FlutterMane RoaringMoon Cyclizar GreatTusk Ceruledge ,SuckerPunch BodyPress Spore Synthesis 
Cyclizar,Regenerator,HeatRock,FlutterMane RoaringMoon BruteBonnet GreatTusk Ceruledge ,ShedTail SunnyDay KnockOff RapidSpin 
GreatTusk,Protosynthesis,ChoiceScarf,FlutterMane RoaringMoon BruteBonnet Cyclizar Ceruledge ,HeadSmash HeadlongRush CloseCombat RapidSpin 
Ceruledge,WeakArmor,FocusSash,FlutterMane RoaringMoon BruteBonnet Cyclizar GreatTusk ,SwordsDance ShadowSneak CloseCombat BitterBlade 
RoaringMoon,Protosynthesis,BoosterEnergy,Cyclizar ChiYu FlutterMane Clodsire IronTreads ,DragonDance IronHead Crunch Earthquake 
Cyclizar,Regenerator,AguavBerry,RoaringMoon ChiYu FlutterMane Clodsire IronTreads ,ShedTail KnockOff RapidSpin TeraBlast 
ChiYu,BeadsofRuin,ChoiceScarf,RoaringMoon Cyclizar FlutterMane Clodsire IronTreads ,FireBlast DarkPulse TeraBlast Memento 
FlutterMane,Protosynthesis,BoosterEnergy,RoaringMoon Cyclizar ChiYu Clodsire IronTreads ,ShadowBall Moonblast MysticalFire Thunderbolt 
Clodsire,WaterAbsorb,Leftovers,RoaringMoon Cyclizar ChiYu FlutterMane IronTreads ,Earthquake StealthRock Toxic Recover 
IronTreads,QuarkDrive,AssaultVest,RoaringMoon Cyclizar ChiYu FlutterMane Clodsire ,Earthquake KnockOff IceSpinner RapidSpin 
Blissey,NaturalCure,HeavyDutyBoots,Amoonguss Toxapex Corviknight TingLu Skeledirge ,SoftBoiled SeismicToss ThunderWave StealthRock 
Amoonguss,Regenerator,RockyHelmet,Blissey Toxapex Corviknight TingLu Skeledirge ,FoulPlay GigaDrain SludgeBomb Spore 
Toxapex,Regenerator,BlackSludge,Blissey Amoonguss Corviknight TingLu Skeledirge ,Toxic ToxicSpikes Haze Liquidation 
Corviknight,Pressure,HeavyDutyBoots,Blissey Amoonguss Toxapex TingLu Skeledirge ,BodyPress Uturn Roost Defog 
TingLu,VesselofRuin,Leftovers,Blissey Amoonguss Toxapex Corviknight Skeledirge ,Whirlwind Ruination Spikes Earthquake 
Skeledirge,Unaware,HeavyDutyBoots,Blissey Amoonguss Toxapex Corviknight TingLu ,TorchSong WillOWisp Hex SlackOff 
Tinkaton,MoldBreaker,ChoiceBand,PalafinHero FlutterMane Corviknight RotomWash TingLu ,GigatonHammer PlayRough IceHammer KnockOff 
PalafinHero,ZerotoHero,ChoiceBand,Tinkaton FlutterMane Corviknight RotomWash TingLu ,FlipTurn WaveCrash JetPunch CloseCombat 
FlutterMane,Protosynthesis,BoosterEnergy,Tinkaton PalafinHero Corviknight RotomWash TingLu ,CalmMind ShadowBall Moonblast Psyshock 
Corviknight,Pressure,HeavyDutyBoots,Tinkaton PalafinHero FlutterMane RotomWash TingLu ,BraveBird Uturn Roost Defog 
RotomWash,Levitate,Leftovers,Tinkaton PalafinHero FlutterMane Corviknight TingLu ,VoltSwitch HydroPump ThunderWave Protect 
TingLu,VesselofRuin,Leftovers,Tinkaton PalafinHero FlutterMane Corviknight RotomWash ,Whirlwind Ruination Spikes Earthquake 
Dragapult,Infiltrator,HeavyDutyBoots,Kingambit GreatTusk Palafin RotomHeat Amoonguss ,Uturn DracoMeteor FireBlast WillOWisp 
Kingambit,Defiant,ChoiceBand,Dragapult GreatTusk Palafin RotomHeat Amoonguss ,SuckerPunch KowtowCleave IronHead LowKick 
GreatTusk,Protosynthesis,BoosterEnergy,Dragapult Kingambit Palafin RotomHeat Amoonguss ,Earthquake RapidSpin StealthRock CloseCombat 
Palafin,ZerotoHero,ChoiceScarf,Dragapult Kingambit GreatTusk RotomHeat Amoonguss ,FlipTurn WaveCrash CloseCombat IcePunch 
RotomHeat,Levitate,HeavyDutyBoots,Dragapult Kingambit GreatTusk Palafin Amoonguss ,Overheat VoltSwitch ThunderWave TeraBlast 
Amoonguss,Regenerator,BlackSludge,Dragapult Kingambit GreatTusk Palafin RotomHeat ,Spore SludgeBomb ClearSmog GigaDrain 
IronBundle,QuarkDrive,ChoiceSpecs,Pincurchin IronValiant IronTreads IronJugulis IronHands ,FreezeDry HydroPump IceBeam Uturn 
Pincurchin,ElectricSurge,TerrainExtender,IronBundle IronValiant IronTreads IronJugulis IronHands ,Discharge Spikes Recover Surf 
IronValiant,QuarkDrive,LifeOrb,IronBundle Pincurchin IronTreads IronJugulis IronHands ,SpiritBreak CloseCombat ThunderPunch SwordsDance 
IronTreads,QuarkDrive,Leftovers,IronBundle Pincurchin IronValiant IronJugulis IronHands ,Earthquake IronHead RapidSpin StealthRock 
IronJugulis,QuarkDrive,ChoiceSpecs,IronBundle Pincurchin IronValiant IronTreads IronHands ,DarkPulse Hurricane FireBlast FlashCannon 
IronHands,QuarkDrive,AssaultVest,IronBundle Pincurchin IronValiant IronTreads IronJugulis ,ThunderPunch DrainPunch HeavySlam VoltSwitch 
PalafinHero,ZerotoHero,Leftovers,Glimmora Gholdengo Cyclizar Houndstone RoaringMoon ,BulkUp Taunt JetPunch DrainPunch 
Glimmora,ToxicDebris,FocusSash,PalafinHero Gholdengo Cyclizar Houndstone RoaringMoon ,StealthRock Spikes MortalSpin Memento 
Gholdengo,GoodasGold,ChoiceScarf,PalafinHero Glimmora Cyclizar Houndstone RoaringMoon ,ShadowBall MakeItRain FocusBlast Trick 
Cyclizar,Regenerator,EjectButton,PalafinHero Glimmora Gholdengo Houndstone RoaringMoon ,ShedTail KnockOff Uturn TeraBlast 
Houndstone,Fluffy,Leftovers,PalafinHero Glimmora Gholdengo Cyclizar RoaringMoon ,LastRespects BodyPress WillOWisp Protect 
RoaringMoon,Protosynthesis,BoosterEnergy,PalafinHero Glimmora Gholdengo Cyclizar Houndstone ,DragonDance Acrobatics JawLock Earthquake 
Glimmora,ToxicDebris,FocusSash,FlutterMane Dragapult Breloom IronTreads Scizor ,StealthRock MortalSpin PowerGem EarthPower 
FlutterMane,Protosynthesis,ChoiceScarf,Glimmora Dragapult Breloom IronTreads Scizor ,Moonblast ShadowBall Psyshock MysticalFire 
Dragapult,Infiltrator,HeavyDutyBoots,Glimmora FlutterMane Breloom IronTreads Scizor ,Hex DracoMeteor Uturn Flamethrower 
Breloom,Technician,LoadedDice,Glimmora FlutterMane Dragapult IronTreads Scizor ,BulletSeed MachPunch Spore RockTomb 
IronTreads,QuarkDrive,AssaultVest,Glimmora FlutterMane Dragapult Breloom Scizor ,RapidSpin KnockOff Earthquake VoltSwitch 
Scizor,Technician,Leftovers,Glimmora FlutterMane Dragapult Breloom IronTreads ,Uturn BulletPunch SwordsDance Pounce 
IronTreads,QuarkDrive,AssaultVest,Orthworm Breloom Palafin ChiYu Volcarona ,RapidSpin KnockOff Earthquake VoltSwitch 
